Serial Number,address,attributes,business_id,Category 1,Category 2,Category 3,Event Planning & Caterers,Cuisine,Cuisine 2,Cuisine 3,Cuisine 4,Cuisine5,Cuisine6,Cuisine Type 1,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
0,2801 N 15th Ave,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, False, yes_free, {'monday': False, 'tuesday': True, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, False, False, False, None, None, False, False, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, True, True, {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, average, None, True, casual, None, False, True, 1, False, False, True, outdoor, True, no)",_c3ixq9jYKxhLUB0czi0ug,Pub,,Sports bar,,American,,,,,,,Phoenix,"(11:0-23:0, 11:0-22:0, 11:0-22:0, 11:0-21:0, 11:0-22:0, 11:0-22:0, 11:0-22:0)",1,33.4798071,-112.0911877,Original Hamburger Works,,85007,277,4,AZ
1,4131 N 83rd Ave,"(None, None, None, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, None, False, None, None, None, None, False, False, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, True, {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': True}, average, None, False, casual, None, None, None, 1, None, True, True, None, None, free)",3ByGQOVgds2YEu6kzl-XEQ,Pub,,Sports bar,,American,,,,,,,Phoenix,,1,33.4952976,-112.2360764,Rib Shop,,85033,3,2.5,AZ
2,7745 W Thomas Rd,"(None, None, None, None, None, None, None, None, None, True, None, None, None, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, True, None, None, None, False, casual, None, False, True, 1, False, None, True, None, None, no)",CeuTRtwsq6w5rztGOyNMPg,Restaurant,,,,Mexican,,,,,,,Phoenix,,1,33.4796712,-112.2251729,Salsitas,,85033,14,2.5,AZ
3,4145 N 83Rd,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, False, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, True, casual, None, False, True, 1, False, False, True, None, True, no)",AcGRSWCpb7YB95MTsHlGEw,Restaurant,,,,American,,,,,,,Phoenix,"(10:30-23:0, 10:30-22:0, 10:30-23:0, 10:30-22:0, 10:30-22:0, 10:30-22:0, 10:30-22:0)",1,33.49542159,-112.2357978,Little Caesars Pizza,,85033,4,2,AZ
4,1111 W Bell Rd,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, True, None, average, None, False, casual, None, False, True, 2, True, True, True, None, True, free)",cKRMmytHxaSt8F0SMEzKqg,Restaurant,,,Yes,Mexican,,,,,,,Phoenix,"(11:0-23:0, 11:0-22:0, 8:0-23:0, 8:0-23:0, 11:0-22:0, 11:0-22:0, 11:0-22:0)",1,33.6397742,-112.0877381,Manuel's Mexican Restaurant & Cantina - Bell Rd,,85023,230,3.5,AZ
5,4716 E Ray Rd,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, False, casual, None, False, True, 1, False, False, True, None, None, None)",8vA1d9_w4hBjOcrM7mNWFg,Restaurant,,,,American,,,,,,Barbeque,Phoenix,"(11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-22:0)",1,33.3202518,-111.9828733,Boston Market,,85044,28,3.5,AZ
6,"1301 W Grand Ave, Ste 1","(None, None, full_bar, {'romantic': False, 'intimate': True, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, True, None, True, {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, None, False, None, None, None, None, None, None, False, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, False, casual, None, False, False, 2, True, True, False, None, None, no)",sh69ApUyPhAltAMpv5vX3w,Restaurant,,,,Mexican,,,,,,,Phoenix,"(17:0-22:30, None, 17:0-22:30, 17:0-21:0, 17:0-22:0, 17:0-22:0, 17:0-22:0)",1,33.4573881,-112.0897301,Barrio Cafe Gran Reserva,,85007,117,4.5,AZ
7,,"(None, None, none, None, None, None, None, False, False, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, True, None, None, None, True, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, None, None, True, None, None, False, True, 1, False, False, True, None, True, no)",C4eRHCr7u-cv8B7OaMQKsg,Restaurant,,Food truck,Yes,Mexican,,,,,,,Phoenix,"(4:30-2:0, 4:30-2:0, 4:30-2:0, 4:30-2:0, 4:30-2:0, 4:30-2:0, 4:30-2:0)",0,33.4499672,-112.0702225,Quickies Mobile Foods,,85001,3,5,AZ
8,17031 N Tatum Blvd,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, False, None, None, None, None, True, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, quiet, None, False, casual, None, False, True, 1, False, False, True, None, None, no)",bVl0_l6sCwjADKRLGxsXAw,Restaurant,,,,American,,,,,,,Phoenix,,1,33.641684,-111.977,Arby's,,85032,19,2.5,AZ
9,3626 E Indian School Rd,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, None, False, None, None, None, None, False, None, None, None, True, True, {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': True}, average, None, True, None, None, None, True, 1, False, None, None, outdoor, True, None)",wcNvlrB5xSxzXex2M3UyvQ,Pub,,Sports bar,,American,,,,,,,Phoenix,"(11:0-2:0, 11:0-2:0, 11:0-2:0, 11:0-2:0, 11:0-2:0, 11:0-2:0, 11:0-2:0)",0,33.4956398,-112.0031738,Hazelwoods First Place Sports Grill,,85018,116,3,AZ
